name,type,abv
A Smith Bowman Sunset Hills Virginia Gin,Gin,
Aberfeldy 18 Years Pauillac Finish Single Malt,Scotch,
Aberfeldy 21 Years Highland Whisky,Whisky,
Aberlour 12 Year,Whisky,
Aberlour 16 Years Old,Whisky,
Aberlour Casg Annamh Highland Whisky,Whisky,
Absolut Citron Vodka,Vodka,
Absolut Elyx Vodka,Vodka,
Absolut Juice Pear & Elderflower,Vodka,
Absolut Juice Strawberry Vodka,Vodka,
Absolut Mandrin Vodka,Vodka,
Absolut Pears Vodka,Vodka,
Absolut Vanilla Vodka,Vodka,
Absolut Watermelon Vodka,Vodka,
Adictivo Plata Tequila,Tequila,
Afrohead 7 Years Old Rum,Rum,
After Dark Premium Grain Whisky,Whisky,
Agavales Premium Anejo Tequila,Tequila,
Alacran Reposado Tequila,Tequila,
Aldez Anejo Organic Tequila,Tequila,
Aldez Blanco Organic Tequila,Tequila,
Alipus Mezcal de San Juan del Rio,Mezcal,
All Points West Kill Van Kull Single Pot Still Rum,Rum,
Allspice Berries Liqueur Allspice Dram,Liqueur,
Amador Ten Barrel Hop Flavored Whiskey,Whiskey,
Amaretto Liqueur (Almond Flavored Liqueur),Liqueur,
Amaro Ciociaro Digestif Liqueur,Liqueur,
Amaro Nonino Quintessentia Digestif Liqueur,Liqueur,
Amass Copenhagen Vodka,Vodka,
Amass Los Angeles Dry Gin,Gin,
American Born Apple Pie Moonshine,Whiskey,
Amrut Naarangi Single Malt Whiskey,Whiskey,
Amrut Peated Cask Strength Single Malt Whisky,Whisky,
Amrut Portonova Single Malt Whiskey,Whiskey,
Amrut Single Malt,Whisky,
Amrut Two Indies Rum,Rum,
Ancho Reyes Verde,Liqueur,
Anchor Genevieve Genever Style Gin,Gin,
Ancient Age Kentucky Straight Bourbon Whiskey,Whiskey,
Anejo Mezcal,Mezcal,
Anejo Tequila,Tequila,
Angelisco Blanco Tequila,Tequila,
Angel's Envy Kentucky Bourbon,Bourbon,
Aperol,Liqueur,
Apple Brandy Calvados,Brandy,
Apple Brandy Calvados Pays d'Auge,Brandy,
Applejack Brandy,Brandy,
Apricot Flavored Brandy Eau de Vie,Brandy,
Ardbeg 10 Year Old Single Malt Scotch,Scotch,
Ardbeg 25 Year Old Scotch Whisky,Scotch,
Ardbeg Uigeadail Single Malt Scotch Whisky,Scotch,
Arran 18 Year Old Isle of Arran Single Malt Scotch Whisky,Scotch,
Arrow Triple Sec Liqueur,Liqueur,
Artenom 1146 Seleccion Anejo Tequila,Tequila,
Artenom 1579 Blanco Tequila,Tequila,
Asombroso La Rosa Reposado Pink,Tequila,
Auchentoshan Single Malt Scotch Whisky 12 Years Old,Scotch,
Auchentoshan Three Wood Single Malt Scotch Whisky,Scotch,
Avion Reposado Tequila,Tequila,
Avion Silver Tequila,Tequila,
Avua Amburana Cachaca Brazilian Rum,Rum,
Avua Balsamo Cachaca,Cachaca,
Azunia Black 2 Private Reserve Tequila,Tequila,
Azunia Organic Reposado Tequila,Tequila,
Bacardi Anejo Cuatro,Rum,
Bacardi Banana Rum,Rum,
Bacardi Black Rum,Rum,
Bacardi Coconut Rum,Rum,
Bacardi Dragon Berry Rum,Rum,
Bacardi Facundo Neo Silver Rum,Rum,
Bacardi Gold Rum,Rum,
Bacardi Lime Rum,Rum,
Bacardi Limon Rum,Rum,
Bacardi Mango Fusion Rum,Rum,
Bacardi Pineapple Fusion Rum,Rum,
Bacardi Raspberry Rum,Rum,
Bacardi Reserva 8 Year Rum,Rum,
Bacardi Reserva Limitada Rum,Rum,
Bacardi Superior Rum,Rum,
Bacardi Tropical Limited Edition,Rum,
Bacon Flavored Vodka,Vodka,
Baileys Apple Pie Irish Cream Liqueur,Liqueur,
Baileys Red Velvet Irish Cream,Liqueur,
Balcones Blue Corn Whiskey,Whiskey,
Balcones Lineage Texas Single Malt Whisky,Whisky,
Balcones True Blue 100 Proof Straight Corn Whisky,Whisky,
Balinoff Extra Premium Vodka,Vodka,
Ballantines 30 Year Old,Scotch,
Ballantine's Finest Blended Scotch Whisky,Scotch,
Ballantine's Finest Scotch Whisky,Scotch,
Ballsy (6 Pack Cans),Other,
Balvenie Single Barrel 12 Year,Scotch,
Banane du Bresil Liqueur,Liqueur,
Bank Note 5 Year Old Blended Scotch Whisky,Scotch,
Bank Note Blended Scotch 5 Years Old,Scotch,
Barbancourt Rhum 5 Star,Rum,
Barbancourt White Rhum,Rum,
Bardstown Bourbon Collaboration Series Phifer Pavitt Reserve,Bourbon,
Bardstown Bourbon Collaboration Series The Prisoner,Bourbon,
Bardstown Bourbon Company Fusion Series 2,Bourbon,
Bare Knuckle Bourbon Whiskey,Whiskey,
Barr An Uisce 1803 Single Malt Irish Whiskey 16 Years Old,Whiskey,
Barr Hill Gin,Gin,
Barr Hill Regular Gin,Gin,
Barr Hill Reserve Tomcat Gin,Gin,
Barr Hill Tom Cat Reserve Barrel Aged Gin,Gin,
Barrell Bourbon 5 Year Batch 013,Bourbon,
Barrell Bourbon Cask Strength Batch 023,Bourbon,
Barrell Bourbon Cask Strength Batch 20,Bourbon,
Barrell Bourbon Cask Strength Batch 26,Bourbon,
Barrell Craft Spirits Batch 25,Whiskey,
Barrell Rye Cask Strength Batch 003,Whiskey,
Barrell Single Barrel Bourbon,Bourbon,
Barrell Whiskey Private Release,Whiskey,
Barsol Primero Quebranta Pisco,Pisco,
Barton 1792 12 Year Old Kentucky Straight Bourbon,Bourbon,
Barton Vodka,Vodka,
