name,type,custom
Lemonade,,FALSE
Lime Juice,,FALSE
Orange Juice,,FALSE
Cranberry Juice,,FALSE
Pineapple Juice,,FALSE
Grapefruit Juice,,FALSE
Apple Juice,,FALSE
Cucumber,,FALSE
Mint Leaves,,FALSE
Basil Leaves,,FALSE
Ginger Beer,,FALSE
Club Soda,,FALSE
Tonic Water,,FALSE
Cola,,FALSE
Ginger Ale,,FALSE
Sprite,,FALSE
Sour Mix,,FALSE
Simple Syrup,,FALSE
Triple Sec,,FALSE
Grenadine,,FALSE
Cranberry Syrup,,FALSE
Coconut Cream,,FALSE
Cream,,FALSE
Milk,,FALSE
Half and Half,,FALSE
Egg White,,FALSE
Honey,,FALSE
Agave Nectar,,FALSE
Tabasco Sauce,,FALSE
Worcestershire Sauce,,FALSE
Bitters,,FALSE
Coffee Liqueur,,FALSE
Chocolate Syrup,,FALSE
Cream of Coconut,,FALSE
Tomato Juice,,FALSE
Bloody Mary Mix,,FALSE
